Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
MHW028_R2_001	MHW028_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66365518.0	0.0	150.0	68.0	34.561133025871605	150.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail
MHW029_R1_001	MHW029_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78627768.0	0.0	150.0	58.0	35.91526751610523	150.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
MHW029_R2_001	MHW029_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78627768.0	0.0	150.0	64.0	37.56146004241218	150.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail
MHW030_R1_001	MHW030_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50739639.0	0.0	150.0	63.0	27.033055143500544	150.0	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	fail
MHW030_R2_001	MHW030_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50739639.0	0.0	150.0	73.0	29.704996898690773	150.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail
MHW031_R1_001	MHW031_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67128246.0	0.0	150.0	57.0	35.83838846864166	150.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
MHW031_R2_001	MHW031_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67128246.0	0.0	150.0	62.0	37.54207752972295	150.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail
MHW032_R1_001	MHW032_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44037987.0	0.0	150.0	45.0	82.58208604483833	150.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	warn	pass
MHW032_R2_001	MHW032_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44037987.0	0.0	150.0	46.0	82.28141346852274	150.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	warn	pass
MHW033_R1_001	MHW033_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42714764.0	0.0	150.0	46.0	82.71565782323536	150.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	warn	pass
MHW033_R2_001	MHW033_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42714764.0	0.0	150.0	46.0	82.28606063085738	150.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	fail	pass
MHW034_R1_001	MHW034_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42995334.0	0.0	150.0	46.0	82.90990330699208	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	warn	warn
MHW034_R2_001	MHW034_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42995334.0	0.0	150.0	46.0	82.63057004374187	150.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	warn	warn
MHW035_R1_001	MHW035_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47140681.0	0.0	150.0	46.0	82.34241005483491	150.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	warn	pass
MHW035_R2_001	MHW035_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47140681.0	0.0	150.0	46.0	82.151555439128	150.0	pass	pass	fail	pass	warn	pass	pass	pass	pass	warn	pass
MHW036_R1_001	MHW036_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42751361.0	0.0	150.0	45.0	83.78782446876275	150.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	warn	pass
MHW036_R2_001	MHW036_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42751361.0	0.0	150.0	46.0	83.58075647219889	150.0	pass	pass	fail	pass	pass	pass	pass	pass	pass	fail	pass
MHW037_R1_001	MHW037_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41939228.0	0.0	150.0	46.0	83.52679026074246	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	warn	pass
MHW037_R2_001	MHW037_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41939228.0	0.0	150.0	46.0	83.25025110144159	150.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	fail	pass
MHW038_R1_001	MHW038_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45185006.0	0.0	150.0	46.0	81.7715919834831	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	warn	warn
MHW038_R2_001	MHW038_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45185006.0	0.0	150.0	46.0	81.46660885222691	150.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	fail	warn
MHW039_R1_001	MHW039_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59006218.0	0.0	150.0	45.0	75.5035690426976	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
MHW039_R2_001	MHW039_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59006218.0	0.0	150.0	45.0	75.30486181498807	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
MHW040_R1_001	MHW040_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57721190.0	0.0	150.0	45.0	75.77280160175269	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	warn
MHW040_R2_001	MHW040_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57721190.0	0.0	150.0	45.0	75.87159819827208	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	warn
MHW041_R1_001	MHW041_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50764931.0	0.0	150.0	45.0	76.28184231863055	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
MHW041_R2_001	MHW041_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50764931.0	0.0	150.0	45.0	76.15656085319877	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
MHW042_R1_001	MHW042_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56173486.0	0.0	150.0	45.0	76.50760887808997	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
MHW042_R2_001	MHW042_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56173486.0	0.0	150.0	45.0	76.4315942256513	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
