Sample	Unique Reads	Duplicate Reads
MHW202_R1_001	34472795.0	10992517.0
MHW202_R2_001	34491566.0	10973746.0
MHW203_R1_001	27496244.0	6319614.0
MHW203_R2_001	27344377.0	6471481.0
MHW204_R1_001	26570022.0	8305526.0
MHW204_R2_001	26376988.0	8498560.0
MHW205_R1_001	24204433.0	12522993.0
MHW205_R2_001	24464602.0	12262824.0
MHW206_R1_001	15762730.0	40553736.0
MHW206_R2_001	17246577.0	39069889.0
MHW207_R1_001	22326896.0	17337906.0
MHW207_R2_001	22842954.0	16821848.0
MHW208_R1_001	34820945.0	8202908.0
MHW208_R2_001	34706878.0	8316975.0
MHW209_R1_001	31061306.0	6823619.0
MHW209_R2_001	30891136.0	6993789.0
MHW210_R1_001	35326439.0	8251571.0
MHW210_R2_001	35150605.0	8427405.0
MHW211_R1_001	33158587.0	7480545.0
MHW211_R2_001	32673724.0	7965408.0
MHW212_R1_001	30124103.0	6879691.0
MHW212_R2_001	29870080.0	7133714.0
MHW213_R1_001	33454102.0	7884542.0
MHW213_R2_001	33144970.0	8193674.0
MHW214_R1_001	34436779.0	8022017.0
MHW214_R2_001	34352607.0	8106189.0
MHW215_R1_001	40614302.0	10058142.0
MHW215_R2_001	40445272.0	10227172.0
MHW216_R1_001	33086183.0	7100861.0
MHW216_R2_001	32938296.0	7248748.0
MHW217_R1_001	40788988.0	9109366.0
MHW217_R2_001	40635316.0	9263038.0
MHW218_R1_001	32737224.0	6873037.0
MHW218_R2_001	32734029.0	6876232.0
MHW219_R1_001	39288800.0	11078907.0
MHW219_R2_001	39206656.0	11161051.0
MHW220_R1_001	38676597.0	10936915.0
MHW220_R2_001	38673504.0	10940008.0
MHW221_R1_001	36027832.0	9663905.0
MHW221_R2_001	35957256.0	9734481.0
MHW222_R1_001	39166825.0	11430491.0
MHW222_R2_001	39199485.0	11397831.0
MHW223_R1_001	32394633.0	9250726.0
MHW223_R2_001	32395463.0	9249896.0
MHW224_R1_001	39319696.0	11858559.0
MHW224_R2_001	39231831.0	11946424.0
MHW225_R1_001	45163429.0	13270574.0
MHW225_R2_001	45092476.0	13341527.0
MHW226_R1_001	43540099.0	13602565.0
MHW226_R2_001	43457828.0	13684836.0
MHW227_R1_001	43622105.0	14249692.0
MHW227_R2_001	43572240.0	14299557.0
MHW228_R1_001	43282574.0	13619208.0
MHW228_R2_001	43329197.0	13572585.0
MHW229_R1_001	42272249.0	12441872.0
MHW229_R2_001	42174565.0	12539556.0
MHW230_R1_001	42244756.0	13322857.0
MHW230_R2_001	42201538.0	13366075.0
MHW231_R1_001	36921893.0	10716653.0
MHW231_R2_001	36902479.0	10736067.0
MHW232_R1_001	41463285.0	11730094.0
MHW232_R2_001	41379853.0	11813526.0
MHW233_R1_001	38080033.0	11229669.0
MHW233_R2_001	37999740.0	11309962.0
MHW234_R1_001	43149890.0	11879056.0
MHW234_R2_001	43139760.0	11889186.0
MHW235_R1_001	37190736.0	10780470.0
MHW235_R2_001	37101350.0	10869856.0
MHW236_R1_001	41018651.0	12559831.0
MHW236_R2_001	40863638.0	12714844.0
MHW237_R1_001	38255852.0	11284668.0
MHW237_R2_001	38248177.0	11292343.0
MHW238_R1_001	39059805.0	11279151.0
MHW238_R2_001	38989714.0	11349242.0
MHW239_R1_001	28393171.0	7995454.0
MHW239_R2_001	28377378.0	8011247.0
MHW240_R1_001	37535484.0	11151402.0
MHW240_R2_001	37511202.0	11175684.0
MHW241_R1_001	36693141.0	11159050.0
MHW241_R2_001	36552516.0	11299675.0
MHW258_R1_001	33945066.0	9977040.0
MHW258_R2_001	33847038.0	10075068.0
MHW260_R1_001	37104538.0	11088016.0
MHW260_R2_001	36940845.0	11251709.0
MHW263_R1_001	33778886.0	9372017.0
MHW263_R2_001	33735545.0	9415358.0
MHW265_R1_001	33022102.0	10540271.0
MHW265_R2_001	33030917.0	10531456.0
MHW267_R1_001	33323868.0	9233408.0
MHW267_R2_001	33284528.0	9272748.0
MHW268_R1_001	40051154.0	12398760.0
MHW268_R2_001	39965768.0	12484146.0
MHW269_R1_001	32541473.0	8743618.0
MHW269_R2_001	32577058.0	8708033.0
MHW270_R1_001	32236797.0	9124522.0
MHW270_R2_001	32189263.0	9172056.0
MHW271_R1_001	28423667.0	7620267.0
MHW271_R2_001	28316379.0	7727555.0
MHW272_R1_001	31986163.0	8976280.0
MHW272_R2_001	31937522.0	9024921.0
MHW273_R1_001	36627176.0	10898863.0
MHW273_R2_001	36621544.0	10904495.0
MHW274_R1_001	37240962.0	10422198.0
MHW274_R2_001	37188600.0	10474560.0
MHW275_R1_001	34370561.0	10703656.0
MHW275_R2_001	34385620.0	10688597.0
MHW276_R1_001	34099334.0	10452085.0
MHW276_R2_001	34023332.0	10528087.0
MHW277_R1_001	36409486.0	10349203.0
MHW277_R2_001	36470316.0	10288373.0
MHW278_R1_001	34763280.0	8785018.0
MHW278_R2_001	34740049.0	8808249.0
MHW279_R1_001	28437077.0	7747076.0
MHW279_R2_001	28440112.0	7744041.0
MHW280_R1_001	35600884.0	10200387.0
MHW280_R2_001	35512688.0	10288583.0
MHW281_R1_001	37607602.0	11695529.0
MHW281_R2_001	37592477.0	11710654.0
MHW282_R1_001	37020682.0	11829863.0
MHW282_R2_001	37059707.0	11790838.0
MHW283_R1_001	36519518.0	11581659.0
MHW283_R2_001	36494126.0	11607051.0
MHW284_R1_001	35167151.0	10374053.0
MHW284_R2_001	35174891.0	10366313.0
MHW285_R1_001	35193568.0	10266731.0
MHW285_R2_001	35194455.0	10265844.0
MHW286_R1_001	36604655.0	10815811.0
MHW286_R2_001	36600055.0	10820411.0
MHW287_R1_001	30802021.0	9257466.0
MHW287_R2_001	30713219.0	9346268.0
MHW288_R1_001	36434716.0	10802597.0
MHW288_R2_001	36384916.0	10852397.0
MHW289_R1_001	35423291.0	7067416.0
MHW289_R2_001	35242291.0	7248416.0
MHW290_R1_001	36994030.0	7398417.0
MHW290_R2_001	36863846.0	7528601.0
MHW291_R1_001	32989787.0	7120438.0
MHW291_R2_001	31915701.0	8194524.0
MHW292_R1_001	43263571.0	8731108.0
MHW292_R2_001	43050423.0	8944256.0
MHW293_R1_001	42237022.0	8663775.0
MHW293_R2_001	42063770.0	8837027.0
MHW294_R1_001	43985599.0	9638658.0
MHW294_R2_001	43814039.0	9810218.0
MHW295_R1_001	46194493.0	10467240.0
MHW295_R2_001	46222906.0	10438827.0
MHW296_R1_001	50103789.0	11792323.0
MHW296_R2_001	49974818.0	11921294.0
MHW297_R1_001	45051281.0	10121655.0
MHW297_R2_001	44795255.0	10377681.0
MHW298_R1_001	44397561.0	10160386.0
MHW298_R2_001	44301081.0	10256866.0
MHW299_R1_001	41303274.0	9713637.0
MHW299_R2_001	40420222.0	10596689.0
MHW300_R1_001	48168574.0	10034429.0
MHW300_R2_001	47917052.0	10285951.0
MHW301_R1_001	47001687.0	10045590.0
MHW301_R2_001	46759652.0	10287625.0
MHW302_R1_001	43946908.0	10004463.0
MHW302_R2_001	43802030.0	10149341.0
MHW303_R1_001	47076695.0	10309009.0
MHW303_R2_001	47101405.0	10284299.0
MHW304_R1_001	47817849.0	10212740.0
MHW304_R2_001	47810932.0	10219657.0
MHW305_R1_001	44366250.0	9978260.0
MHW305_R2_001	44234741.0	10109769.0
MHW306_R1_001	43282354.0	9841715.0
MHW306_R2_001	43129822.0	9994247.0
MHW307_R1_001	49748331.0	12260138.0
MHW307_R2_001	49212119.0	12796350.0
MHW308_R1_001	38049466.0	7314188.0
MHW308_R2_001	37799238.0	7564416.0
MHW309_R1_001	40886475.0	8757894.0
MHW309_R2_001	40629189.0	9015180.0
MHW310_R1_001	40401232.0	9232057.0
MHW310_R2_001	40124190.0	9509099.0
MHW311_R1_001	28178885.0	11245237.0
MHW311_R2_001	28155015.0	11269107.0
MHW312_R1_001	47573747.0	13525188.0
MHW312_R2_001	47507023.0	13591912.0
MHW313_R1_001	39114539.0	10316106.0
MHW313_R2_001	39052923.0	10377722.0
MHW314_R1_001	38136210.0	10948869.0
MHW314_R2_001	38055804.0	11029275.0
MHW315_R1_001	36811372.0	8898689.0
MHW315_R2_001	36760871.0	8949190.0
MHW316_R1_001	35600541.0	8742711.0
MHW316_R2_001	35501421.0	8841831.0
MHW317_R1_001	34279591.0	8616770.0
MHW317_R2_001	34198736.0	8697625.0
MHW318_R1_001	36829347.0	9241442.0
MHW318_R2_001	36670282.0	9400507.0
MHW319_R1_001	41666176.0	11292316.0
MHW319_R2_001	41572788.0	11385704.0
MHW320_R1_001	46784859.0	13909305.0
MHW320_R2_001	46678560.0	14015604.0
MHW321_R1_001	68621144.0	24211762.0
MHW321_R2_001	68546436.0	24286470.0
MHW322_R1_001	40933864.0	13060625.0
MHW322_R2_001	40880748.0	13113741.0
MHW323_R1_001	45578777.0	13040136.0
MHW323_R2_001	45509979.0	13108934.0
MHW324_R1_001	42973127.0	12755975.0
MHW324_R2_001	42912242.0	12816860.0
MHW325_R1_001	41770341.0	11851918.0
MHW325_R2_001	41764811.0	11857448.0
MHW326_R1_001	36491711.0	10740820.0
MHW326_R2_001	36406744.0	10825787.0
MHW327_R1_001	36140917.0	11383377.0
MHW327_R2_001	36087021.0	11437273.0
MHW328_R1_001	37489570.0	11397531.0
MHW328_R2_001	37448431.0	11438670.0
MHW329_R1_001	41913078.0	13793302.0
MHW329_R2_001	41850512.0	13855868.0
MHW330_R1_001	36568491.0	11871510.0
MHW330_R2_001	36487688.0	11952313.0
MHW331_R1_001	36051291.0	10388087.0
MHW331_R2_001	36010566.0	10428812.0
MHW332_R1_001	35460668.0	11384424.0
